Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
10857716,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10867721,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10867900,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10872152,00000521,false,Rx,0,6,00,07,00,00,02,73,00,00,
10875634,1801D08F,true,Rx,0,8,00,8C,00,5E,03,00,00,47,
10877187,0000039D,false,Rx,0,5,28,5F,01,28,00,00,00,00,
10877721,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10883229,00000523,false,Rx,0,6,02,03,00,04,7A,25,00,00,
10884245,00000524,false,Rx,0,6,03,03,FF,FF,FF,FA,00,00,
10887732,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10887910,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10892266,00000521,false,Rx,0,6,00,08,00,00,02,6C,00,00,
10897733,00000112,false,Rx,0,8,FA,1F,75,0B,86,01,65,49,
10905142,00000522,false,Rx,0,6,01,03,00,04,7A,4B,00,00,
10907737,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10907915,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10910789,00000100,false,Rx,0,8,01,00,00,00,3D,09,3F,12,
10911044,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
10912126,00000521,false,Rx,0,6,00,09,00,00,02,6B,00,00,
10917192,0000039D,false,Rx,0,5,19,50,01,28,00,00,00,00,
10917737,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10927736,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
10927986,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
10928231,0000003F,false,Rx,0,8,00,00,00,40,00,40,64,6B,
10928455,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
10928639,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10928873,000002F1,false,Rx,0,8,36,10,7D,60,09,08,07,A0,
10929127,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
10929352,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
10932221,00000521,false,Rx,0,6,00,0A,00,00,02,51,00,00,
10937752,00000112,false,Rx,0,8,FB,1F,76,0B,86,01,65,49,
10943218,00000523,false,Rx,0,6,02,04,00,04,7A,31,00,00,
10944224,00000524,false,Rx,0,6,03,04,FF,FF,FF,F8,00,00,
10947754,00000112,false,Rx,0,8,FB,1F,76,0B,86,01,65,49,
10947941,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
10952246,00000521,false,Rx,0,6,00,0B,00,00,02,60,00,00,
10957259,0000039D,false,Rx,0,5,1A,51,01,28,00,00,00,00,
10957763,00000112,false,Rx,0,8,FA,1F,76,0B,86,01,65,49,
