Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
133787247,00000540,false,Rx,0,8,00,00,00,00,FD,3C,FF,40,
133787827,00000521,false,Rx,0,6,00,0A,00,00,02,C4,00,00,
133793453,1801D08F,true,Rx,0,8,00,8C,00,6E,03,00,00,44,
133794429,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133798822,00000522,false,Rx,0,6,01,0E,00,04,63,4C,00,00,
133804426,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133804604,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133807824,00000521,false,Rx,0,6,00,0B,00,00,02,CE,00,00,
133814428,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133822153,00000523,false,Rx,0,6,02,0F,00,04,63,79,00,00,
133822371,00000524,false,Rx,0,6,03,0F,00,00,00,1E,00,00,
133822668,0000039D,false,Rx,0,5,24,5B,01,28,00,00,00,00,
133824433,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133824615,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133828163,00000521,false,Rx,0,6,00,0C,00,00,02,BC,00,00,
133834441,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133844436,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133844624,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133847741,00000521,false,Rx,0,6,00,0D,00,00,02,B4,00,00,
133854438,00000112,false,Rx,0,8,FA,1F,3B,0B,40,01,65,47,
133858817,00000522,false,Rx,0,6,01,0F,00,04,63,98,00,00,
133859593,00000100,false,Rx,0,8,01,00,00,00,8E,08,5C,12,
133859849,00000101,false,Rx,0,8,00,00,00,00,00,00,00,00,
133862621,0000039D,false,Rx,0,5,25,5C,01,28,00,00,00,00,
133864447,00000112,false,Rx,0,8,FA,1F,3C,0B,40,01,65,47,
133864628,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133867825,00000521,false,Rx,0,6,00,0E,00,00,02,CA,00,00,
133874457,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133882162,00000523,false,Rx,0,6,02,00,00,04,63,83,00,00,
133882391,00000524,false,Rx,0,6,03,00,00,00,00,12,00,00,
133882708,0000035D,false,Rx,0,8,01,00,00,00,00,00,00,00,
133884454,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133884709,0000003C,false,Rx,0,8,FF,5F,00,00,00,00,FF,FF,
133884953,0000003F,false,Rx,0,8,00,00,00,C0,00,C0,64,C0,
133885179,0000012F,false,Rx,0,8,F5,28,86,1D,F1,35,30,80,
133885360,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133885594,000002F1,false,Rx,0,8,36,10,7D,00,00,00,00,A0,
133885850,000003E9,false,Rx,0,8,FE,FF,00,00,00,00,00,00,
133886073,00000431,false,Rx,0,8,CA,FF,0B,02,69,26,F3,4B,
133888156,00000521,false,Rx,0,6,00,0F,00,00,02,D2,00,00,
133893451,1801D08F,true,Rx,0,8,00,8C,00,6D,03,00,00,44,
133894471,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133902622,0000039D,false,Rx,0,5,26,5D,01,28,00,00,00,00,
133904469,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133904650,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133907743,00000521,false,Rx,0,6,00,00,00,00,02,CA,00,00,
133914476,00000112,false,Rx,0,8,F9,1F,3C,0B,40,01,65,47,
133918822,00000522,false,Rx,0,6,01,00,00,04,63,60,00,00,
133924479,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133924656,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133927814,00000521,false,Rx,0,6,00,01,00,00,02,CE,00,00,
133929954,000003B4,false,Rx,0,8,00,FF,B0,F4,B8,FF,00,00,
133934478,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133942151,00000523,false,Rx,0,6,02,01,00,04,63,87,00,00,
133942370,00000524,false,Rx,0,6,03,01,FF,FF,FF,E4,00,00,
133942646,0000039D,false,Rx,0,5,27,5E,01,28,00,00,00,00,
133944484,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133944666,000001A1,false,Rx,0,5,7C,CB,00,00,8A,00,00,00,
133948142,00000521,false,Rx,0,6,00,02,00,00,02,D6,00,00,
133949976,00000272,false,Rx,0,8,02,F2,71,11,FF,FF,FF,FF,
133954483,00000112,false,Rx,0,8,F9,1F,3B,0B,40,01,65,47,
133959591,00000100,false,Rx,0,8,01,00,00,00,8E,08,5C,12,
